"region";"nivå";"kjønn";"år";"statistikkvariabel";"09429: Personer 16 år og over, etter region, nivå, kjønn, år og statistikkvariabel"
"3003 Sarpsborg (2020-2023)";"01 Grunnskolenivå";"2 Kvinner";"2020";"Personer 16 år og over";7272
"3003 Sarpsborg (2020-2023)";"01 Grunnskolenivå";"2 Kvinner";"2021";"Personer 16 år og over";7175
"3003 Sarpsborg (2020-2023)";"01 Grunnskolenivå";"2 Kvinner";"2022";"Personer 16 år og over";7158
"3003 Sarpsborg (2020-2023)";"01 Grunnskolenivå";"2 Kvinner";"2023";"Personer 16 år og over";7201
"3003 Sarpsborg (2020-2023)";"01 Grunnskolenivå";"1 Menn";"2020";"Personer 16 år og over";7416
"3003 Sarpsborg (2020-2023)";"01 Grunnskolenivå";"1 Menn";"2021";"Personer 16 år og over";7334
"3003 Sarpsborg (2020-2023)";"01 Grunnskolenivå";"1 Menn";"2022";"Personer 16 år og over";7426
"3003 Sarpsborg (2020-2023)";"01 Grunnskolenivå";"1 Menn";"2023";"Personer 16 år og over";7523
"3003 Sarpsborg (2020-2023)";"02a Videregående skolenivå";"0 Begge kjønn";"2020";"Personer 16 år og over";18712
"3003 Sarpsborg (2020-2023)";"02a Videregående skolenivå";"0 Begge kjønn";"2021";"Personer 16 år og over";18913
"3003 Sarpsborg (2020-2023)";"02a Videregående skolenivå";"0 Begge kjønn";"2022";"Personer 16 år og over";19095
"3003 Sarpsborg (2020-2023)";"02a Videregående skolenivå";"0 Begge kjønn";"2023";"Personer 16 år og over";19191
"3003 Sarpsborg (2020-2023)";"02a Videregående skolenivå";"2 Kvinner";"2020";"Personer 16 år og over";8620
"3003 Sarpsborg (2020-2023)";"02a Videregående skolenivå";"2 Kvinner";"2021";"Personer 16 år og over";8659
"3003 Sarpsborg (2020-2023)";"02a Videregående skolenivå";"2 Kvinner";"2022";"Personer 16 år og over";8721
"3003 Sarpsborg (2020-2023)";"02a Videregående skolenivå";"2 Kvinner";"2023";"Personer 16 år og over";8730
"3003 Sarpsborg (2020-2023)";"02a Videregående skolenivå";"1 Menn";"2020";"Personer 16 år og over";10092
"3003 Sarpsborg (2020-2023)";"02a Videregående skolenivå";"1 Menn";"2021";"Personer 16 år og over";10254
"3003 Sarpsborg (2020-2023)";"02a Videregående skolenivå";"1 Menn";"2022";"Personer 16 år og over";10374
"3003 Sarpsborg (2020-2023)";"02a Videregående skolenivå";"1 Menn";"2023";"Personer 16 år og over";10461
"3003 Sarpsborg (2020-2023)";"11 Fagskolenivå";"0 Begge kjønn";"2020";"Personer 16 år og over";1273
"3003 Sarpsborg (2020-2023)";"11 Fagskolenivå";"0 Begge kjønn";"2021";"Personer 16 år og over";1353
"3003 Sarpsborg (2020-2023)";"11 Fagskolenivå";"0 Begge kjønn";"2022";"Personer 16 år og over";1420
"3003 Sarpsborg (2020-2023)";"11 Fagskolenivå";"0 Begge kjønn";"2023";"Personer 16 år og over";1494
"3003 Sarpsborg (2020-2023)";"11 Fagskolenivå";"2 Kvinner";"2020";"Personer 16 år og over";595
"3003 Sarpsborg (2020-2023)";"11 Fagskolenivå";"2 Kvinner";"2021";"Personer 16 år og over";642
"3003 Sarpsborg (2020-2023)";"11 Fagskolenivå";"2 Kvinner";"2022";"Personer 16 år og over";690
"3003 Sarpsborg (2020-2023)";"11 Fagskolenivå";"2 Kvinner";"2023";"Personer 16 år og over";731
"3003 Sarpsborg (2020-2023)";"11 Fagskolenivå";"1 Menn";"2020";"Personer 16 år og over";678
"3003 Sarpsborg (2020-2023)";"11 Fagskolenivå";"1 Menn";"2021";"Personer 16 år og over";711
"3003 Sarpsborg (2020-2023)";"11 Fagskolenivå";"1 Menn";"2022";"Personer 16 år og over";730
"3003 Sarpsborg (2020-2023)";"11 Fagskolenivå";"1 Menn";"2023";"Personer 16 år og over";763
"3003 Sarpsborg (2020-2023)";"03a Universitets- og høgskolenivå, kort";"0 Begge kjønn";"2020";"Personer 16 år og over";9773
"3003 Sarpsborg (2020-2023)";"03a Universitets- og høgskolenivå, kort";"0 Begge kjønn";"2021";"Personer 16 år og over";10167
"3003 Sarpsborg (2020-2023)";"03a Universitets- og høgskolenivå, kort";"0 Begge kjønn";"2022";"Personer 16 år og over";10520
"3003 Sarpsborg (2020-2023)";"03a Universitets- og høgskolenivå, kort";"0 Begge kjønn";"2023";"Personer 16 år og over";10745
"3003 Sarpsborg (2020-2023)";"03a Universitets- og høgskolenivå, kort";"2 Kvinner";"2020";"Personer 16 år og over";5966
"3003 Sarpsborg (2020-2023)";"03a Universitets- og høgskolenivå, kort";"2 Kvinner";"2021";"Personer 16 år og over";6209
"3003 Sarpsborg (2020-2023)";"03a Universitets- og høgskolenivå, kort";"2 Kvinner";"2022";"Personer 16 år og over";6422
"3003 Sarpsborg (2020-2023)";"03a Universitets- og høgskolenivå, kort";"2 Kvinner";"2023";"Personer 16 år og over";6531
"3003 Sarpsborg (2020-2023)";"03a Universitets- og høgskolenivå, kort";"1 Menn";"2020";"Personer 16 år og over";3807
"3003 Sarpsborg (2020-2023)";"03a Universitets- og høgskolenivå, kort";"1 Menn";"2021";"Personer 16 år og over";3958
