Dato;Nedbør m.m.pr døgn
01.12.2018;7
02.12.2018;0,2
03.12.2018;7,8
04.12.2018;3,8
05.12.2018;0
06.12.2018;0
07.12.2018;0
08.12.2018;0,2
09.12.2018;0,2
10.12.2018;0
11.12.2018;0
12.12.2018;0
13.12.2018;0
14.12.2018;0
15.12.2018;0
16.12.2018;0
17.12.2018;0
18.12.2018;0
19.12.2018;0
20.12.2018;5,3
21.12.2018;0
22.12.2018;0
23.12.2018;0
24.12.2018;0
25.12.2018;0
26.12.2018;0
27.12.2018;1
28.12.2018;0,2
29.12.2018;0
30.12.2018;0
31.12.2018;0,1
01.01.2019;1,6
02.01.2019;0
03.01.2019;0
04.01.2019;0
05.01.2019;0
06.01.2019;0
07.01.2019;0
08.01.2019;0,1
09.01.2019;5,2
10.01.2019;0
11.01.2019;0
12.01.2019;0
13.01.2019;0
14.01.2019;0
15.01.2019;0
16.01.2019;0
17.01.2019;0
18.01.2019;0,7
19.01.2019;0,7
20.01.2019;0,5
21.01.2019;0
22.01.2019;0
23.01.2019;0
24.01.2019;0
